x;ulamek; double;float
2;0;0;1,29E-07
2;0;0;3,22E-09
3;0;0;0
3;0;0;5,09E-07
3;0;0;1,53E-06
4;0;0;3,53E-07
4;0;0;5,30E-08
4;0;0;1,06E-07
4;0;0;5,22E-08
5;0;0;3,81E-07
5;0;0;3,81E-07
5;0;0;1,27E-06
5;0;0;4,74E-07
5;1,00E-15;0;8,11E-08
6;0;0;1,51E-07
6;1,00E-15;0;1,90E-07
6;0;0;5,75E-07
6;2,00E-15;2,00E-15;8,15E-08
6;0;2,00E-15;3,33E-07
6;4,00E-15;0;4,44E-07
7;0;0;2,03E-06
7;0;0;4,41E-06
7;0;0;9,32E-08
7;2,00E-15;0;4,97E-07
7;0;0;6,22E-07
7;0;0;3,39E-07
7;0;0;2,43E-06
8;4,00E-15;4,00E-15;6,36E-07
8;0;2,00E-15;5,87E-07
8;0;0;4,54E-07
8;0;0;8,94E-07
8;0;0;1,84E-07
8;0;0;8,48E-08
8;0;0;1,38E-06
8;0;0;1,53E-07
9;7,00E-15;0;3,63E-08
9;0;0;5,03E-07
9;0;0;3,48E-08
9;0;2,00E-15;4,78E-07
9;0;0;2,85E-07
9;0;0;1,08E-06
9;2,00E-15;0;1,84E-07
9;2,00E-15;0;3,60E-07
9;1,00E-15;0;1,27E-07
10;4,00E-15;0;5,97E-07
10;0;0;1,56E-06
10;4,00E-15;0;5,27E-07
10;0;0;7,02E-07
10;0;0;1,29E-07
10;0;0;1,53E-06
10;0;0;3,39E-07
10;0;0;2,52E-06
10;1,40E-14;0;2,30E-06
10;0;7,00E-15;3,38E-06
11;4,00E-15;4,00E-15;1,45E-06
11;0;0;1,09E-07
11;4,00E-15;0;3,63E-08
11;4,00E-15;0;1,07E-06
11;0;4,00E-15;1,26E-06
11;0;0;1,03E-06
11;7,00E-15;0;1,71E-06
11;2,00E-15;2,00E-15;1,03E-06
11;0;0;1,45E-07
11;0;0;6,09E-06
11;0;2,00E-15;6,05E-07
12;7,00E-15;0;5,45E-07
12;4,00E-15;7,00E-15;6,60E-07
12;4,00E-15;4,00E-15;1,86E-06
12;0;0;2,54E-07
12;0;0;4,04E-09
12;0;0;1,61E-06
12;0;4,00E-15;1,21E-07
12;0;0;3,05E-06
12;7,00E-15;7,00E-15;6,61E-06
12;7,00E-15;7,00E-15;2,26E-07
12;0;1,40E-14;1,19E-06
12;0;7,00E-15;2,88E-06
13;0;0;1,71E-06
13;0;7,00E-15;2,16E-06
13;1,40E-14;1,40E-14;9,04E-07
13;0;0;3,09E-06
13;4,00E-15;0;2,09E-06
13;7,00E-15;7,00E-15;1,76E-07
13;0;0;3,09E-07
13;0;7,00E-15;1,31E-06
13;7,00E-15;7,00E-15;7,42E-06
13;0;4,00E-15;1,59E-07
13;0;7,00E-15;3,71E-06
13;7,00E-15;7,00E-15;3,79E-06
13;7,00E-15;0;1,68E-06
14;0;0;9,52E-07
14;0;0;2,42E-06
14;0;7,00E-15;2,30E-07
14;0;0;1,35E-07
14;0;0;1,45E-07
14;4,00E-15;4,00E-15;1,69E-06
14;0;4,00E-15;7,25E-07
14;4,00E-15;7,00E-15;4,36E-07
14;0;0;2,15E-06
14;0;0;8,38E-07
14;0;4,00E-15;7,89E-07
14;0;0;3,72E-06
14;0;0;1,25E-06
14;7,00E-15;7,00E-15;5,89E-06
15;0;7,00E-15;3,89E-06
15;0;0;1,40E-06
15;7,00E-15;7,00E-15;4,68E-06
15;0;0;1,01E-06
15;2,80E-14;0;1,22E-05
15;0;0;6,06E-08
15;0;1,40E-14;5,63E-06
15;0;0;3,73E-06
15;0;0;1,51E-06
15;1,40E-14;0;1,61E-06
15;7,00E-15;0;4,57E-06
15;7,00E-15;7,00E-15;3,25E-06
15;0;7,00E-15;3,55E-07
15;0;7,00E-15;2,43E-06
15;7,00E-15;7,00E-15;1,54E-06
16;0;0;8,96E-07
16;0;1,40E-14;6,68E-06
16;7,00E-15;0;5,10E-06
16;0;0;1,17E-06
16;0;0;2,69E-06
16;1,40E-14;7,00E-15;9,08E-07
16;7,00E-15;0;1,09E-06
16;0;7,00E-15;7,02E-07
16;0;1,40E-14;4,30E-06
16;1,40E-14;0;2,71E-06
16;0;0;1,54E-06
16;0;0;4,21E-06
16;0;0;1,31E-06
16;7,00E-15;0;1,59E-06
16;0;0;7,02E-07
16;0;7,00E-15;3,39E-07
17;4,00E-15;4,00E-15;5,35E-07
17;0;2,00E-15;6,63E-07
17;2,00E-15;4,00E-15;2,17E-07
17;4,00E-15;4,00E-15;7,93E-07
17;0;4,00E-15;2,49E-08
17;0;4,00E-15;7,40E-07
17;0;0;3,04E-07
17;0;0;7,74E-07
17;2,00E-15;2,00E-15;6,66E-09
17;2,00E-15;0;4,11E-07
17;0;4,00E-15;6,37E-07
17;0;2,00E-15;1,70E-07
17;0;0;2,84E-07
17;0;0;8,26E-07
17;0;0;1,32E-06
17;0;2,00E-15;4,10E-07
17;0;0;1,03E-07
18;0;0;7,70E-06
18;7,00E-15;1,40E-14;1,00E-06
18;0;0;2,02E-08
18;0;0;5,74E-06
18;0;0;9,73E-07
18;7,00E-15;7,00E-15;4,11E-06
18;7,00E-15;0;2,00E-06
18;0;0;2,07E-06
18;0;0;9,45E-07
18;0;7,00E-15;1,73E-06
18;0;7,00E-15;3,67E-07
18;1,40E-14;0;1,65E-06
18;0;0;5,94E-06
18;7,00E-15;7,00E-15;2,76E-06
18;0;7,00E-15;6,86E-07
18;0;0;1,07E-06
18;1,40E-14;0;1,32E-06
18;4,00E-15;4,00E-15;8,60E-07
19;0;0;1,57E-07
19;0;0;2,20E-07
19;7,00E-15;0;1,07E-05
19;7,00E-15;0;2,72E-06
19;7,00E-15;0;2,60E-06
19;7,00E-15;0;4,13E-06
19;0;0;6,03E-07
19;0;0;9,20E-07
19;7,00E-15;0;1,74E-06
19;7,00E-15;1,40E-14;1,56E-06
19;0;2,80E-14;2,13E-06
19;0;0;2,73E-07
19;0;1,40E-14;2,81E-06
19;4,00E-15;0;3,61E-07
19;0;0;2,70E-07
19;0;0;2,11E-07
19;0;1,40E-14;4,50E-06
19;0;4,00E-15;1,00E-06
19;0;0;2,32E-06
20;1,40E-14;0;4,98E-06
20;7,00E-15;0;2,09E-06
20;7,00E-15;7,00E-15;1,20E-06
20;0;7,00E-15;4,84E-06
20;7,00E-15;0;1,05E-06
20;0;0;3,20E-06
20;0;7,00E-15;5,81E-07
20;0;0;5,32E-06
20;7,00E-15;1,40E-14;2,70E-06
20;7,00E-15;7,00E-15;7,59E-07
20;0;0;2,84E-06
20;7,00E-15;7,00E-15;2,78E-06
20;0;1,40E-14;9,28E-07
20;0;0;3,93E-06
20;0;7,00E-15;4,74E-06
20;0;1,40E-14;8,60E-07
20;7,00E-15;0;3,03E-07
20;0;7,00E-15;7,27E-07
20;0;0;7,70E-07
20;0;1,40E-14;1,03E-06
21;4,00E-15;0;1,07E-06
21;0;0;3,02E-06
21;7,00E-15;0;2,28E-06
21;0;7,00E-15;8,52E-07
21;7,00E-15;1,40E-14;4,31E-07
21;1,40E-14;1,40E-14;1,16E-06
21;0;0;2,28E-06
21;0;0;9,71E-07
21;7,00E-15;0;4,06E-06
21;7,00E-15;7,00E-15;3,27E-06
21;0;0;2,40E-06
21;0;0;1,11E-06
