x;float; double; ulamek
0;6,74636E-07;0;0
0;6,5933E-08;0;0
1;3,09414E-07;0;2E-15
1;3,9913E-07;0;0
0;4,34112E-07;0;0
0;2,68499E-06;0;0
0;2,27948E-05;0;0
1;3,87763E-07;0;0
1;9,08261E-08;0;0
1;7,26609E-07;0;0
2;3,61859E-06;0;0
2;3,95483E-06;0;1,4E-14
2;5,61357E-05;0;0
0;2,47249E-07;0;2E-15
0;1,25196E-06;0;0
0;6,83358E-07;0;4E-15
0;5,44957E-07;0;0
1;3,90697E-08;2,00E-15;0
1;1,2295E-06;2,00E-15;2E-15
1;2,13081E-07;0;0
1;5,88592E-07;0;2E-15
2;2,01836E-07;0;0
2;7,74992E-07;0;0
2;2,36148E-07;0;0
2;4,22846E-07;0;0
3;2,9468E-07;0;0
3;7,8535E-07;0;0
3;3,21928E-07;4,00E-15;0
3;8,42328E-07;2,00E-15;0
0;2,32838E-07;0;1,4E-14
0;8,52377E-06;0;1,4E-14
0;6,98513E-06;0;0
0;4,74376E-06;0;0
0;4,98508E-06;0;2,8E-14
1;2,09441E-06;0;7E-15
1;1,08945E-06;0;1,4E-14
1;4,89573E-07;0;0
1;4,14135E-06;0;1,4E-14
1;8,61866E-06;2,00E-15;0
2;5,51808E-07;0;7E-15
2;5,30935E-08;0;0
2;7,71451E-07;0;1,4E-14
2;1,20542E-05;0;0
2;2,25733E-06;0;1,4E-14
3;5,44957E-07;0;0
3;3,58714E-06;0;7E-15
3;2,58673E-06;0;0
3;5,98933E-06;0;1,4E-14
3;1,47744E-06;0;0
4;2,19188E-06;0;0
4;2,4898E-06;0;0
4;2,01674E-06;0;0
4;8,55323E-07;0;1,4E-14
4;4,52401E-06;7,00E-15;7E-15
0;3,0692E-05;4,00E-15;0
0;0,000103004;0;0
0;2,13914E-05;0;0
0;1,35246E-05;0;5,7E-14
0;1,12511E-05;4,00E-15;5,7E-14
0;3,12965E-05;0;0
1;2,92116E-05;0;1,14E-13
1;0,000137416;2,00E-15;0
1;1,99704E-05;0;0
1;8,64503E-06;0;0
1;1,27517E-05;2,00E-15;0
1;1,62847E-05;0;0
2;3,47997E-05;7,00E-15;1,14E-13
2;7,28547E-05;4,00E-15;2,27E-13
2;6,45875E-07;0;1,14E-13
2;6,59869E-06;0;0
2;1,69219E-05;0;0
2;2,02439E-05;4,00E-15;0
3;6,2004E-07;0;5,7E-14
3;1,29821E-05;7,00E-15;0
3;3,70086E-05;7,00E-15;5,7E-14
3;2,95488E-06;1,40E-14;0
3;1,7374E-05;7,00E-15;2,8E-14
3;4,30079E-05;0;0
4;1,24395E-05;7,00E-15;0
4;8,33178E-06;1,40E-14;1,14E-13
4;7,31991E-07;0;0
4;1,03017E-05;0;0
4;4,80638E-06;7,00E-15;2,8E-14
4;1,09878E-05;0;0
5;6,35076E-05;7,00E-15;0
5;4,59604E-05;7,00E-15;0
5;6,7946E-06;4,00E-15;0
5;1,54752E-05;7,00E-15;5,7E-14
5;1,29326E-05;7,00E-15;0
5;4,33597E-05;0;1,14E-13
0;1,69193E-05;0;0
0;7,73758E-06;0;5,7E-14
0;7,97471E-06;7,00E-15;0
0;2,03967E-05;0;5,7E-14
0;9,93355E-06;0;0
0;5,74828E-06;4,00E-15;5,7E-14
0;1,88595E-06;4,00E-15;5,7E-14
1;1,077E-05;7,00E-15;5,7E-14
1;4,68517E-06;0;0
1;4,74921E-05;0;5,7E-14
1;1,01402E-06;4,00E-15;0
1;5,14719E-05;0;0
1;3,95404E-05;0;1,14E-13
1;1,22888E-05;7,00E-15;5,7E-14
2;1,28958E-05;7,00E-15;2,8E-14
2;7,24487E-06;0;0
2;1,27409E-05;7,00E-15;5,7E-14
2;8,43328E-06;0;5,7E-14
2;3,09682E-05;0;0
2;3,63006E-05;0;5,7E-14
2;2,45955E-05;1,40E-14;1,14E-13
3;7,66007E-06;0;2,8E-14
3;2,30642E-05;0;0
3;2,78187E-06;0;5,7E-14
3;7,55673E-06;0;0
3;6,64282E-05;7,00E-15;5,7E-14
3;1,28787E-05;7,00E-15;0
3;2,97102E-06;7,00E-15;0
4;1,8472E-06;7,00E-15;0
4;7,16759E-06;0;0
4;2,18098E-06;1,40E-14;0
4;4,8925E-06;0;1,4E-14
4;1,19487E-06;0;2,8E-14
4;7,05833E-06;0;2,8E-14
4;5,00553E-07;7,00E-15;1,4E-14
5;1,784E-06;0;2,8E-14
5;2,38051E-06;7,00E-15;0
5;3,72083E-06;1,40E-14;0
5;5,01014E-07;0;0
5;8,00331E-06;0;0
5;9,26166E-06;0;5,7E-14
5;7,21534E-06;0;0
6;6,2779E-06;0;0
6;1,76553E-05;0;1,14E-13
6;2,38743E-05;7,00E-15;1,14E-13
6;5,56529E-05;4,00E-15;5,7E-14
6;2,73636E-05;2,00E-15;1,14E-13
6;1,07072E-05;4,00E-15;0
6;2,71913E-05;4,00E-15;0
0;2,93098E-06;4,00E-15;0
0;7,06112E-05;4,00E-15;0
0;2,70801E-05;0;5,7E-14
0;2,20216E-05;0;5,7E-14
0;2,82635E-05;2,00E-15;0
0;4,78593E-06;0;2,8E-14
0;1,14994E-05;4,00E-15;5,7E-14
0;7,24487E-06;2,00E-15;0
1;6,52856E-06;0;0
1;2,37339E-06;0;2,8E-14
1;8,87078E-06;0;2,8E-14
