eigen;double;float
0;0;8,26203E-08
0;0;1,45034E-07
0;0;2,78527E-08
0;0;1,07392E-08
0;0;1,78348E-08
0;0;4,70991E-07
0;1E-15;2,06006E-07
0;0;1,10841E-07
0;1E-15;6,74196E-07
0;0;5,07356E-08
0;0;8,09817E-08
0;0;1,70245E-08
0;0;4,60444E-08
0;0;9,94469E-08
0;1E-15;9,02728E-07
0;0;1,2954E-07
0;0;7,60583E-08
0;0;5,92675E-07
0;0;2,10597E-07
0;0;1,08775E-07
0;0;2,33785E-07
0;0;3,66516E-08
0;0;9,08571E-08
0;1E-15;3,7284E-07
0;0;3,39432E-08
0;0;2,31963E-07
0;0;1,4991E-08
0;3E-15;6,10105E-07
0;2E-15;3,73818E-07
0;0;1,02988E-06
0;1E-15;8,71772E-08
0;1E-15;5,01314E-07
0;2E-15;2,13962E-07
0;1E-15;1,93047E-07
0;2E-15;1,8E-07
0;2,8E-14;1,28757E-06
0;3,9E-14;2,17397E-06
0;2,27E-13;8,38787E-07
0;1,14E-13;5,49164E-08
0;7,5E-14;3,77093E-07
0;1,21E-13;1,03606E-06
0;4,6E-14;1,47552E-07
0;2,3E-14;2,29305E-06
0;1E-14;5,10748E-07
0;1E-15;7,92143E-07
0;1E-15;1,26141E-08
0;2E-15;1,44918E-08
0;1E-15;5,01076E-07
0;1E-15;5,51594E-07
0;0;2,59452E-08
0;1E-15;9,46978E-07
0;0;5,28852E-08
0;1E-15;2,03706E-06
0;4E-15;3,6703E-07
0;0;1,96557E-08
0;0;1,21637E-07
0;2E-15;8,47726E-07
0;0;2,81545E-07
0;0;1,06459E-08
0;0;1,74362E-07
0;1E-15;4,90057E-07
0;1E-15;2,63928E-07
0;0;7,52338E-08
0;0;9,79468E-09
0;0;2,89115E-08
0;1E-15;7,30583E-08
0;1E-15;2,05958E-07
0;0;3,49482E-07
0;2E-15;6,30072E-07
0;1E-15;6,67876E-07
0;1E-15;5,92523E-08
0;0;3,29514E-08
0;2E-15;5,56855E-08
0;0;4,35776E-08
0;1E-15;6,63632E-08
0;0;1,69217E-08
0;0;1,42462E-08
0;2E-15;3,41775E-08
0;1E-15;2,80967E-08
0;1E-15;1,24813E-08
0;2E-15;1,80152E-08
0;1E-15;3,71801E-09
0;2E-15;1,00686E-07
0;2E-15;5,53181E-08
0;1E-15;2,26773E-08
0;0;2,90689E-08
0;1E-15;3,79007E-08
0;7E-15;6,49968E-08
0;3E-15;2,04431E-08
0;1E-15;1,19204E-08
0;1,4E-14;3,82341E-07
0;4E-15;1,80914E-07
0;9E-15;5,83536E-07
0;1E-15;1,09478E-07
0;9E-15;3,33443E-07
0;3,6E-14;1,65469E-06
0;2E-15;1,17903E-07
0;6E-15;1,59741E-07
0;6E-15;2,66061E-07
0;1,4E-14;7,19934E-07
0;1E-15;1,23235E-08
0;1E-15;2,21236E-07
0;1,1E-14;5,81333E-07
0;1E-14;5,78749E-07
0;0;1,66558E-08
0;1E-15;1,9629E-08
0;0;1,83661E-09
0;1E-15;1,3357E-08
0;0;1,70801E-08
0;0;6,60969E-09
0;1E-15;3,79354E-08
0;0;1,89672E-09
0;1E-15;9,72164E-09
0;1E-15;2,48914E-08
0;1E-15;5,32251E-09
0;0;1,48904E-08
0;1E-15;1,2334E-08
0;1E-15;5,83994E-08
0;0;5,14732E-09
0;4E-15;4,33423E-07
0;7E-15;7,03135E-07
0;0;9,66005E-09
0;2E-15;5,80613E-08
0;1E-15;1,5405E-07
0;3E-15;1,64821E-07
0;0;1,02441E-08
0;2E-15;1,95668E-07
0;0;1,34465E-07
0;3E-15;2,32941E-07
0;1E-15;1,6758E-07
0;0;1,09121E-07
0;2E-15;1,09333E-07
0;2E-15;4,1332E-07
0;1E-15;8,71812E-08
0;4E-15;2,53032E-07
0;7E-15;3,6565E-07
0;4,4E-14;2,0092E-07
0;4,6E-14;2,56856E-07
0;8,2E-14;3,70206E-06
0;1,8E-14;6,44004E-07
0;1,49E-13;6,65135E-06
0;4,6E-14;3,26706E-06
0;6E-14;1,84438E-07
0;2,98E-13;1,29329E-07
0;2E-14;7,03919E-07
0;9E-15;8,18374E-07
0;8,9E-14;4,12107E-06
0;1,56E-13;9,68072E-06
0;2,1E-14;1,00188E-06
0;1,2E-14;2,3778E-07
0;9,9E-14;4,5032E-06
0;2E-14;2,10173E-06
0;1E-15;1,54428E-08
0;0;2,28253E-08
0;1E-15;1,20782E-08
0;0;1,33915E-08
0;1E-15;1,71631E-09
0;1E-15;1,02253E-08
0;0;7,15802E-08
0;1E-15;3,97617E-09
0;5E-15;1,75034E-08
0;0;5,88525E-08
0;0;5,95865E-08
0;1E-15;6,97322E-08
0;1E-15;2,25661E-08
0;0;1,58912E-08
0;0;5,9333E-09
0;0;6,40697E-08
0;0;2,63317E-08
0;0;3,38638E-08
0;1E-15;8,45515E-08
0;4E-15;3,48532E-08
0;1E-15;2,29517E-07
0;2E-15;1,91103E-08
0;2E-15;3,86789E-08
0;6E-15;4,63917E-08
0;5E-15;3,04932E-08
0;5E-15;1,95637E-07
0;0;1,36091E-08
0;0;9,04529E-09
0;4E-15;1,12292E-07
0;1E-15;6,12088E-08
0;3E-15;2,07659E-08
0;9E-15;4,15563E-07
0;5E-15;2,22807E-08
0;0;1,35248E-08
0;2E-15;2,31662E-08
0;0;1,0141E-07
0;4E-15;8,28626E-09
0;6E-15;1,10734E-07
0;8E-15;2,53358E-08
0;4E-15;4,5224E-08
0;4E-15;1,45405E-07
0;1E-15;1,48646E-07
0;5E-15;5,8595E-07
0;1,1E-14;4,25542E-07
0;3E-15;2,19144E-07
0;1E-15;3,43051E-07
0;4E-15;3,26108E-07
0;0;7,61592E-07
0;5E-15;9,80029E-07
0;3E-15;3,5106E-07
0;0;8,14082E-07
0;5E-15;7,59009E-07
0;2E-15;1,15024E-07
0;3E-15;1,95726E-07
0;9E-15;4,51886E-07
0;2E-15;4,29662E-07
0;1E-15;3,36347E-07
0;4E-15;7,61421E-07
0;1,4E-14;8,16051E-07
0;5E-14;1,56609E-06
0;2,5E-14;1,15997E-06
0;2,8E-14;8,57116E-07
0;5E-15;2,45299E-07
0;1,7E-14;2,74874E-07
0;6E-15;3,91454E-07
0;2,8E-14;9,75538E-07
0;2E-14;7,12329E-07
0;4E-15;3,77464E-07
0;1,3E-14;1,25933E-07
0;2,5E-14;7,39781E-07
0;7,1E-14;1,61978E-06
0;4E-15;2,73952E-07
0;1,28E-13;4,45813E-06
0;5,7E-14;1,3409E-06
0;6,4E-14;1,8686E-06
0;2,1E-14;7,70573E-06
0;8E-15;3,80096E-07
0;7,8E-14;2,57618E-06
0;1E-15;3,01078E-08
0;0;1,39221E-08
0;0;4,99229E-08
0;1E-15;1,48022E-07
0;0;1,09003E-07
0;1E-15;1,43869E-07
0;0;7,94166E-08
0;0;2,67135E-08
0;0;6,48652E-08
0;0;6,91068E-08
0;2E-15;2,59571E-07
0;1E-15;3,91317E-08
0;0;1,19732E-07
0;0;1,97914E-08
0;0;8,62562E-08
0;0;3,14549E-09
0;0;5,1567E-08
0;0;1,53569E-07
0;0;2,41809E-09
0;0;1,38613E-07
0;0;1,28962E-07
0;1E-15;3,75575E-08
0;0;6,06511E-08
0;1E-15;3,67504E-08
0;5E-15;2,02719E-07
0;0;1,45512E-08
0;1E-15;6,07127E-08
0;2E-15;1,23095E-07
0;1E-15;3,3533E-08
0;2E-15;1,17881E-07
0;2E-15;3,87658E-08
0;0;6,10818E-08
0;4E-15;2,04868E-07
0;1E-15;3,7492E-08
0;3E-15;1,05108E-07
0;2E-15;4,64785E-08
0;0;8,98389E-09
0;2E-15;2,95278E-08
0;0;3,59282E-08
